Serial #s, Consumption Current (mA), Lo Gate Trig Freq,Hi Gate Trig Freq, DSAT Hi, DSAT Lo, 2L Turn Off Hi, 2L Turn Off Lo, Hi DeadTime,Lo DeadTime, Result, DateTime
test_4_19,499.7,,NA , NA , NA, NA, NA, NA, NA, NA,FAIL,4/19/2024 9:07:55 AM
tEST_2,118.139,4.99992,5.00049,FAILED,FAILED,FAILED,FAILED,356.8,352, --- , 5.00016,5.00035,FAILED,FAILED,PASSING,PASSED,369.6,358.4,FAIL,4/19/2024 9:11:12 AM
Setup_Tuning,119.411,4.99972,4.99989,PASSED,PASSED,PASSED,PASSED,339.2,330.4,PASS,4/19/2024 9:37:33 AM
ZJ24010910010308LF,119.186,5.00012,5.00016,PASSED,PASSED,PASSED,PASSED,336.4,371.6,PASS,4/19/2024 10:29:09 AM
ZJ24010910010087LF,118.648,5.0004,4.99952,PASSED,PASSED,FAILED,FAILED,302,356, --- , 4.99992,5.00024,PASSED,PASSED,PASSED,PASSED,319.2,342.4,PASS,4/19/2024 10:31:06 AM
ZJ24010910010085LF,119.354,4.9996,5,PASSED,PASSED,PASSED,PASSED,243.2,378.4, --- , 4.99952,5.00063,PASSED,PASSED,PASSED,PASSED,252.8,343.2,PASS,4/19/2024 10:33:40 AM
ZJ24010910010195LF,119.207,5.0004,5.00004,PASSED,PASSED,FAILED,FAILED,310,340.8, --- , 4.99968,5.0004,PASSED,PASSED,PASSED,PASSED,318.8,346.8,PASS,4/19/2024 10:35:45 AM
ZJ24010910010161LF,119.252,4.99988,4.99989,PASSED,PASSED,PASSED,PASSED,310,344,PASS,4/19/2024 10:37:46 AM
ZJ24010910010103LF,118.846,5.00024,5.00021,PASSED,PASSED,FAILED,FAILED,344,298.4, --- , 5.0006,4.99952,PASSED,PASSED,FAILED,FAILED,342,314.4,FAIL,4/19/2024 10:39:33 AM
ZJ24010910010103LF,0,,NA , NA , NA, NA, NA, NA, NA, NA,FAIL,4/19/2024 10:39:52 AM
ZJ24010910010103LF,119.823,4.99992,4.99997,PASSED,PASSED,PASSED,PASSED,328.8,329.6,PASS,4/19/2024 10:40:54 AM
ZJ24010910010201LF,119.092,5.00028,5.00034,PASSED,PASSED,PASSED,PASSED,315.2,349.6,PASS,4/19/2024 10:42:11 AM
