Serial #s, Consumption Current (mA), Lo Gate Trig Freq,Hi Gate Trig Freq, DSAT Hi, DSAT Lo, 2L Turn Off Hi, 2L Turn Off Lo, Hi DeadTime,Lo DeadTime, Result, DateTime
Test,114.525,4.99988,5.00036,PASSED,PASSED,PASSED,PASSED,204,338, --- , 4.99984,5.00034,PASSED,PASSED,PASSED,PASSED,204.4,351.2,FAIL,4/2/2024 11:45:59 AM
Test4,115.417,5.00028,4.99981,PASSED,FAILED,PASSED,PASSED,318,324, --- , 4.99966,5.00005,PASSED,FAILED,PASSED,PASSED,310.4,313.6,FAIL,4/2/2024 11:47:50 AM
test4,115.409,5.00004,5.00012,PASSED,PASSED,PASSED,PASSED,238.4,335.6,PASS,4/2/2024 11:49:15 AM
TrialRun,115.404,5.00036,4.99935,PASSED,PASSED,PASSING,PASSED,293.2,289.6,PASS,4/2/2024 12:25:29 PM
