Serial #s, 
, , , , , , , , , , Functional Test Parameters , , , , , , , , , , , , , , , Gate Signal Test Parameters , 
   , Check Pos 15V,	CH2 Off Gate Voltage,	   CH1 On Gate Voltage,	CH1 Off Gate Voltage,	CH2 On Gate Voltage,   UVLO, OVLO, 	Digital +5V, CH1 Pos Vunreg,	CH1 Neg Vunreg,	CH2 Pos Vunreg,	CH2 Neg Vunreg,	Ch1 Freq,	Ch1 Duty, Ch2 Freq,	Ch2 Duty,	TempFreq,	Temp Duty,	DCL Freq,	DCL Duty,	Ch1 Gate Trig Freq,	Ch2 Gate Trig Freq, 2L Aug Switch - Ch1, Aug Switch - Ch2, DSAT - Ch1, DSAT- Ch2, Deadtime - Ch1(ns), Deadtime - Ch2(ns), Result, Reason for Failure 
ZJ2404122-001-0005,14.87,4.12,18.77,3.99,18.71,PASS,PASS,5.35,21.98,7.44,21.94,7.5,10006.25,48.69,10041.42,48.86,31372.55,8.24,31360.25,48.61,50.03102,50.05006,PASSED,PASSED,PASSED,PASSED,990.4,1008,FAIL,Failed TestTempraturePWMFreq,
ZJ2404122-001-0005,14.87,4.14,18.75,3.96,18.72,PASS,PASS,5.35,21.98,7.45,21.94,7.49,10003.75,48.72,10041.42,48.9,31347.96,57.09,31347.96,46.94,50,49.96003,PASSED,PASSED,FAILED,PASSED,1001.6,983.4,FAIL,Failed Lo Side DSAT Test , 
ZJ2404122-001-0005,14.87,4.16,18.83,4,18.77,PASS,PASS,5.37,21.98,7.46,21.95,7.46,10002.5,48.69,10041.42,48.86,31347.96,57.84,31347.96,51.14,49.98604,49.94706,PASSING,PASSED,FAILED,PASSED,1005.6,987.2,FAIL,Failed Lo Side DSAT Test , 
ZJ2404122-001-0006,14.88,4.02,18.73,3.99,18.71,PASS,PASS,5.36,21.97,7.44,21.94,7.45,10003.75,48.71,10041.42,48.85,31458.91,57.06,31446.54,44.58,49.992,49.991,PASSED,PASSED,PASSED,PASSED,1001.4,982.4,FAIL,Failed TestDCLinkPWMFreq,
ZJ2404122-001-0006,14.88,4.05,18.79,4,18.77,PASS,PASS,5.37,21.97,7.45,21.95,7.46,10003.75,48.73,10041.42,48.91,31434.18,57.45,31434.18,55.72,49.91714,49.97701,PASSED,PASSED,PASSED,PASSED,992,1005.6,FAIL,Failed GenerateHiSideDSATFault Test,Failed TestDCLinkPWMFreq,
ZJ2404122-001-0002,14.87,4,18.77,3.96,18.73,PASS,PASS,5.34,21.99,7.43,21.95,7.45,10006.25,48.71,10041.42,48.9,31311.15,57.14,31311.15,52.33,49.98101,49.97801,PASSED,PASSED,PASSED,PASSED,1016,991.2,PASS,
ZJ24011500010122RH6,14.87,4.03,18.75,3.96,18.78,PASS,PASS,5.35,21.97,7.43,21.95,7.44,10001.25,48.69,10041.42,48.9,31384.86,57.04,31397.17,48,49.992,50.05205,PASSED,PASSED,PASSED,PASSED,1013,972,FAIL,
ZJ24011500010097RH6,14.87,4.05,18.77,3.97,18.68,PASS,PASS,5.35,21.98,7.43,21.95,7.47,10002.5,48.71,10041.42,48.91,31434.18,56.31,31434.18,48.8,49.97401,49.98401,PASSED,PASSED,PASSED,PASSED,1027.4,985.6,FAIL,Failed GenerateHiSideDSATFault Test,
ZJ24011500010297RH6,14.88,4.08,18.71,4.01,18.81,PASS,PASS,5.34,21.98,7.43,21.95,7.45,10005,48.77,10041.42,48.9,31446.54,57.08,31446.54,48.66,49.95903,50.05406,PASSED,PASSED,PASSED,FAILED,1015.2,978.4,FAIL,Failed GenerateHiSideDSATFault Test,Failed High Side DSAT Test , 
ZJ24011500010297RH6,14.88,4.07,18.77,3.78,18.82,PASS,PASS,5.34,21.98,7.44,21.97,7.45,10005,48.74,10041.42,48.91,31434.18,57.84,31434.18,51.71,49.98401,49.97301,PASSED,PASSED,PASSED,FAILED,1020.8,992.8,FAIL,Failed High Side DSAT Test , 
